id,property_type,city,state,price,bedrooms,bathrooms,square_feet,sale_date,buyer_age,buyer_income,buyer_occupation,year_built,garage,lot_area
999432,Condo,Montreal,BC,773133.0,3,2,2515,2024-09-25,43,45532,Artist,1952,0,4224
999433,Condo,Montreal,ON,845843.0,1,3,3909,2022-02-05,58,56993,Manager,1960,1,4247
999434,Condo,Montreal,QC,406330.0,2,2,1635,2022-10-28,36,127163,Manager,1951,1,3280
999435,Condo,Toronto,AB,700784.0,5,1,3884,2016-02-25,54,44705,Artist,1965,1,6783
999436,Apartment,Ottawa,ON,354342.0,1,1,2169,2017-09-24,59,109065,Doctor,2006,0,1319
999437,Condo,Calgary,ON,730542.0,5,2,2313,2018-01-27,30,74212,Engineer,1950,0,7194
999438,House,Vancouver,QC,234388.0,2,1,1211,2017-11-23,49,46613,Entrepreneur,1960,1,5904
999439,House,Toronto,BC,776199.0,5,1,3385,2017-05-03,51,119804,Teacher,2003,0,9006
999440,Condo,Ottawa,ON,521835.0,4,3,2342,2021-05-30,27,136452,Doctor,2012,1,8097
999441,House,Toronto,ON,936534.0,1,1,1539,2021-05-26,42,99116,Doctor,1989,1,7068
999442,Condo,Vancouver,ON,281377.0,5,2,1404,2020-01-04,60,110855,Engineer,2009,1,2536
999443,Condo,Vancouver,QC,633035.0,3,1,2392,2024-09-23,39,98103,Entrepreneur,2007,0,8208
999444,Condo,Montreal,QC,660314.0,1,1,2730,2023-07-11,27,121861,Entrepreneur,1992,0,8854
999445,Condo,Calgary,BC,994309.0,4,1,2239,2015-01-29,34,126284,Doctor,1961,0,9547
999446,Condo,Vancouver,BC,829783.0,4,2,2016,2017-03-05,30,119980,Manager,1972,1,7763
999447,House,Toronto,ON,950457.0,4,3,1705,2024-03-05,55,76839,Teacher,1961,0,2182
999448,Condo,Ottawa,AB,499794.0,1,2,3142,2024-10-12,28,117578,Manager,1957,0,7207
999449,House,Montreal,QC,536180.0,5,1,2523,2021-02-09,45,44653,Engineer,1959,1,6676
999450,Apartment,Vancouver,ON,435672.0,5,1,1279,2016-09-26,36,67538,Teacher,1985,1,2821
999451,House,Vancouver,ON,199633.0,3,2,920,2022-07-09,45,125332,Doctor,1990,0,3772
999452,House,Calgary,AB,869804.0,2,2,1618,2023-11-24,53,116173,Manager,1993,1,9912
999453,Condo,Vancouver,BC,825522.0,3,3,1515,2017-12-15,35,142215,Artist,1998,1,5503
999454,House,Calgary,BC,619633.0,1,1,843,2018-08-21,59,89445,Engineer,2020,0,8348
999455,House,Vancouver,ON,240801.0,3,3,2809,2024-12-24,62,101279,Entrepreneur,1952,0,3281
999456,House,Calgary,QC,727628.0,5,1,1912,2019-05-16,26,84149,Manager,2017,0,8720
999457,House,Montreal,BC,394773.0,5,1,2068,2019-04-09,56,61178,Artist,2012,1,1552
999458,Condo,Vancouver,QC,811736.0,1,2,2205,2019-07-10,32,114965,Doctor,2020,1,6237
999459,Condo,Toronto,AB,228945.0,5,1,2383,2018-03-23,35,120880,Entrepreneur,2020,0,7426
999460,House,Calgary,AB,370678.0,2,3,1981,2019-03-30,25,111577,Teacher,1959,0,6838
999461,Condo,Vancouver,QC,737443.0,4,3,3263,2017-09-23,52,74372,Manager,1992,0,4129
999462,Condo,Montreal,ON,823417.0,3,3,2256,2019-08-09,25,62893,Engineer,1975,0,7988
999463,House,Montreal,BC,980231.0,1,2,2643,2019-07-02,55,48972,Teacher,2014,1,6278
999464,Apartment,Montreal,ON,633993.0,3,1,2800,2023-02-01,63,94682,Teacher,1994,1,3065
999465,House,Montreal,QC,695851.0,4,2,2448,2024-09-15,55,75615,Engineer,2015,1,4628
999466,House,Calgary,QC,734115.0,1,1,3366,2019-03-12,59,75627,Artist,1951,1,7699
999467,Apartment,Montreal,QC,129427.0,5,1,1905,2021-03-03,33,104817,Doctor,2006,0,1133
999468,House,Toronto,QC,651928.0,4,1,1615,2023-11-12,63,130443,Teacher,1982,1,6046
999469,House,Montreal,AB,240510.0,5,3,2396,2015-08-14,31,115560,Artist,1953,1,8853
999470,House,Calgary,ON,346022.0,5,3,1491,2024-10-15,29,79189,Teacher,2022,0,6771
999471,Apartment,Calgary,BC,442281.0,3,2,1520,2016-06-11,40,74233,Engineer,2002,0,9407
999472,Apartment,Calgary,AB,903927.0,2,2,3186,2020-09-10,49,142322,Entrepreneur,1978,1,7890
999473,Condo,Ottawa,AB,207534.0,4,2,3358,2018-08-25,31,117706,Engineer,1973,0,8017
999474,Apartment,Calgary,ON,147078.0,5,2,2773,2023-11-10,62,97507,Engineer,2007,0,9743
999475,House,Toronto,QC,160281.0,5,1,1049,2015-07-13,41,110338,Engineer,1998,1,8848
999476,House,Calgary,ON,789350.0,1,3,2255,2024-11-20,52,103474,Entrepreneur,1996,1,3963
999477,Apartment,Calgary,QC,663340.0,5,1,3378,2018-04-04,58,41018,Manager,1995,1,2499
999478,Condo,Montreal,ON,854102.0,2,2,1243,2018-02-08,32,57181,Manager,1955,1,8763
999479,Condo,Vancouver,BC,921787.0,4,2,2352,2015-12-24,37,94967,Teacher,1972,1,8288
999480,House,Ottawa,QC,700870.0,5,2,3295,2018-08-17,56,88063,Manager,1983,1,7040
999481,Apartment,Vancouver,BC,140337.0,1,2,3761,2016-12-29,31,117668,Entrepreneur,1979,0,6199
999482,House,Calgary,QC,636509.0,1,3,1231,2018-03-11,45,126105,Doctor,1958,0,1305
999483,Condo,Ottawa,QC,413198.0,3,2,1765,2023-03-07,33,113676,Teacher,1951,0,9768
999484,Condo,Vancouver,BC,906730.0,4,3,2987,2019-09-13,51,100925,Manager,2009,1,7976
999485,House,Toronto,QC,322051.0,5,3,3540,2016-04-24,61,140467,Engineer,2019,0,5607
999486,Apartment,Vancouver,ON,578836.0,5,3,1164,2018-06-09,49,139384,Manager,1986,1,5229
999487,House,Calgary,QC,218883.0,4,2,992,2017-12-20,52,57119,Doctor,1977,0,5000
999488,Apartment,Calgary,AB,741217.0,2,2,2771,2020-06-26,39,124554,Doctor,1988,0,3804
999489,House,Vancouver,ON,168399.0,4,3,3870,2023-05-18,31,52229,Manager,1968,0,8872
999490,Apartment,Vancouver,AB,931504.0,3,1,3565,2016-04-30,43,106192,Engineer,2011,1,5306
999491,House,Toronto,BC,396581.0,3,2,869,2020-12-18,27,60783,Engineer,1989,1,9491
999492,Condo,Vancouver,BC,720904.0,3,2,3280,2022-07-30,50,129781,Manager,2013,0,6000
999493,Apartment,Calgary,ON,633613.0,3,2,1207,2020-02-19,59,144552,Teacher,1975,0,3101
999494,House,Montreal,QC,203510.0,5,3,1091,2017-05-25,49,67543,Engineer,1958,0,6411
999495,Apartment,Calgary,QC,235214.0,3,3,2689,2017-01-14,39,68932,Entrepreneur,2012,0,3249
999496,Condo,Vancouver,ON,807899.0,1,2,1839,2017-09-11,37,115820,Artist,1951,0,2528
999497,Apartment,Toronto,ON,717881.0,4,3,1252,2019-08-29,28,81515,Teacher,1975,1,8007
999498,Apartment,Montreal,AB,799693.0,5,1,3424,2016-07-24,56,78356,Manager,2012,1,4003
999499,House,Calgary,ON,873553.0,3,1,1895,2020-03-19,46,131022,Entrepreneur,1971,0,7407
999500,Condo,Ottawa,AB,425376.0,5,2,3204,2018-09-27,60,132619,Doctor,1994,0,4957
999501,Condo,Calgary,AB,535619.0,1,1,2342,2020-09-24,64,122004,Engineer,2022,1,7123
999502,Apartment,Vancouver,QC,890429.0,5,3,1600,2015-12-14,53,76413,Doctor,1981,1,4849
999503,Apartment,Vancouver,AB,590881.0,4,1,2423,2018-02-02,64,147006,Teacher,1951,1,9904
999504,House,Calgary,AB,248435.0,4,1,2484,2022-11-26,48,85989,Doctor,1971,0,4847
999505,Condo,Vancouver,ON,387556.0,1,2,2836,2015-01-11,42,141641,Teacher,1950,0,8558
999506,Condo,Toronto,AB,459326.0,2,3,1427,2018-03-03,26,53126,Doctor,1971,1,5511
999507,Condo,Calgary,ON,603645.0,3,2,1576,2016-01-22,50,85475,Engineer,1986,0,1069
999508,Condo,Toronto,QC,624609.0,2,1,3531,2018-11-07,44,145969,Doctor,1971,0,2114
999509,Apartment,Toronto,ON,677396.0,1,1,889,2015-08-04,40,133780,Entrepreneur,1979,0,7781
999510,House,Ottawa,BC,530846.0,1,1,2509,2016-02-03,46,148790,Manager,1969,1,2212
999511,Apartment,Montreal,ON,446060.0,5,2,2861,2015-11-17,31,101868,Doctor,1999,1,4885
999512,House,Toronto,ON,305123.0,5,3,2249,2017-01-28,61,78893,Manager,1980,0,1461
999513,Condo,Calgary,BC,485843.0,2,1,1542,2020-02-07,44,76273,Teacher,1985,1,5922
999514,Condo,Vancouver,AB,636199.0,5,1,1756,2018-07-03,39,107242,Teacher,1988,1,4450
999515,Apartment,Ottawa,QC,436870.0,4,2,1617,2018-03-21,56,120064,Doctor,1960,1,1804
999516,Condo,Vancouver,BC,967469.0,2,2,3793,2015-02-07,58,128653,Engineer,2022,1,2000
999517,Apartment,Calgary,ON,456764.0,5,1,3766,2018-05-22,46,146967,Entrepreneur,1996,0,7375
999518,Apartment,Vancouver,AB,515084.0,4,2,1984,2016-01-11,41,71870,Engineer,2008,0,2236
999519,Condo,Montreal,AB,232415.0,3,1,1281,2019-05-05,41,41877,Teacher,1979,1,8859
999520,Apartment,Vancouver,ON,784372.0,2,2,1737,2021-05-26,44,135034,Teacher,1956,0,8434
999521,House,Vancouver,QC,349764.0,4,2,3878,2015-07-29,53,77531,Entrepreneur,1991,1,7562
999522,House,Ottawa,BC,320791.0,2,1,2571,2018-12-25,53,127950,Engineer,1986,1,9502
999523,House,Calgary,ON,319632.0,2,1,1963,2018-09-25,54,113925,Doctor,2010,1,6989
999524,Condo,Vancouver,AB,118912.0,4,1,3209,2018-10-16,48,115080,Manager,2020,1,9961
999525,House,Toronto,AB,560153.0,1,2,3447,2017-04-27,49,61810,Artist,1979,1,4257
999526,Condo,Toronto,ON,936008.0,3,1,1794,2017-10-15,26,125328,Teacher,2018,0,3608
999527,House,Ottawa,QC,410744.0,1,1,972,2022-06-04,26,112233,Artist,1976,1,6378
999528,Apartment,Calgary,ON,672276.0,4,1,3915,2023-10-28,25,74152,Engineer,1987,0,1303
999529,Condo,Vancouver,ON,913818.0,5,3,1993,2021-01-30,51,59990,Teacher,1996,1,2495
999530,House,Vancouver,QC,934495.0,2,3,1391,2015-10-02,27,68003,Doctor,2020,0,2610
999531,Condo,Vancouver,BC,910477.0,2,3,2168,2021-02-21,45,51645,Doctor,1991,0,5541
999532,Condo,Calgary,BC,644845.0,4,1,1961,2016-07-11,44,52042,Teacher,1987,0,3563
999533,Apartment,Toronto,BC,618152.0,4,2,2421,2017-05-31,34,66954,Manager,2016,1,1237
999534,Apartment,Toronto,ON,279406.0,4,3,3598,2018-03-16,47,125066,Artist,2009,1,3284
999535,House,Calgary,BC,940070.0,4,3,1185,2021-09-24,51,62350,Engineer,1962,0,2969
999536,Condo,Ottawa,QC,156385.0,2,2,3074,2020-11-11,41,143506,Engineer,2021,1,9195
999537,Apartment,Vancouver,AB,252798.0,3,2,2550,2019-10-01,44,81261,Doctor,2015,0,6691
999538,Apartment,Calgary,QC,269158.0,4,3,2208,2023-10-21,41,120077,Teacher,1983,0,6436
999539,House,Montreal,QC,973000.0,1,3,820,2018-04-25,51,105044,Teacher,2013,1,7535
999540,Apartment,Toronto,AB,243223.0,4,1,2757,2017-09-11,56,78258,Doctor,2014,0,6078
999541,Condo,Calgary,QC,904810.0,2,3,2199,2015-01-14,61,40334,Teacher,2021,1,7175
999542,Condo,Vancouver,ON,336620.0,4,3,815,2023-10-09,35,126445,Artist,1975,0,1541
999543,Apartment,Toronto,ON,403564.0,3,2,1382,2023-11-12,60,77240,Artist,1983,1,3365
999544,House,Ottawa,BC,248970.0,2,2,3140,2015-11-21,29,131313,Teacher,2014,0,4547
999545,House,Calgary,QC,342299.0,5,2,3316,2018-10-07,34,146278,Engineer,1982,0,4205
999546,House,Montreal,ON,978065.0,2,1,818,2018-05-08,32,82589,Doctor,1952,1,7779
999547,Apartment,Vancouver,ON,792359.0,1,2,953,2023-05-09,47,122963,Artist,1961,0,8147
999548,Apartment,Montreal,AB,410029.0,5,3,1236,2021-08-20,62,94763,Doctor,1958,1,9221
999549,Condo,Montreal,ON,920652.0,1,3,1019,2016-10-24,39,43821,Doctor,1978,1,6489
999550,Apartment,Montreal,ON,690587.0,5,1,2399,2024-12-06,36,64822,Entrepreneur,2005,1,6253
999551,Condo,Montreal,BC,291745.0,1,1,3498,2024-10-07,39,74227,Doctor,1968,1,1153
999552,House,Calgary,AB,171415.0,3,1,2437,2019-04-26,51,66118,Engineer,1981,1,3319
999553,Condo,Ottawa,ON,804169.0,5,2,2300,2021-05-22,28,118115,Artist,1961,1,2409
999554,Condo,Vancouver,ON,887662.0,5,2,2239,2018-06-16,47,48569,Artist,1955,1,5795
999555,House,Vancouver,QC,201816.0,5,1,1043,2021-11-07,63,142744,Doctor,1953,0,1763
999556,Condo,Vancouver,QC,147575.0,1,3,2029,2020-03-16,49,67818,Teacher,1992,1,8177
999557,Apartment,Toronto,BC,530655.0,5,2,2886,2022-04-29,28,119396,Doctor,1955,0,3621
999558,Condo,Montreal,QC,305281.0,5,3,1214,2019-04-13,35,79849,Engineer,1978,1,7004
999559,Condo,Calgary,QC,905379.0,1,2,3478,2015-12-20,39,63375,Artist,1980,1,8392
999560,House,Calgary,BC,632497.0,3,3,3244,2022-10-31,40,66451,Doctor,1965,0,5948
999561,Apartment,Calgary,BC,801528.0,2,2,2864,2021-12-22,64,87034,Doctor,1966,1,2711
999562,Apartment,Vancouver,QC,883086.0,5,2,1161,2018-12-29,58,97564,Engineer,1956,1,2011
999563,Apartment,Ottawa,AB,381815.0,1,1,1260,2022-08-27,41,76758,Engineer,1955,1,6017
999564,Condo,Ottawa,QC,309093.0,4,3,2253,2016-12-11,61,138893,Engineer,1958,0,3174
999565,Apartment,Toronto,QC,602369.0,3,3,1749,2017-04-12,33,140262,Engineer,1971,1,4472
999566,Condo,Calgary,BC,110802.0,5,1,2277,2024-04-16,34,107987,Doctor,2021,1,2021
999567,Condo,Toronto,AB,979973.0,5,3,1398,2019-02-02,25,77511,Manager,1964,0,1297
999568,Apartment,Toronto,QC,375586.0,5,2,1143,2015-04-17,55,76529,Doctor,1982,0,7767
999569,Apartment,Calgary,QC,418098.0,4,2,2382,2023-05-25,36,62480,Doctor,1999,0,6064
999570,Apartment,Toronto,ON,392654.0,4,1,3438,2020-07-28,61,105656,Entrepreneur,2009,0,2806
999571,Condo,Vancouver,ON,616653.0,5,3,3721,2024-12-16,56,59836,Manager,1984,0,6565
999572,Condo,Vancouver,BC,599641.0,3,1,3516,2022-11-23,64,114222,Manager,1950,1,6636
999573,Condo,Vancouver,ON,436803.0,2,2,2356,2022-05-16,25,42353,Artist,2002,1,4680
999574,Apartment,Toronto,AB,138418.0,4,3,2369,2016-11-18,58,88020,Manager,1977,1,9766
999575,Apartment,Vancouver,BC,438395.0,5,3,1725,2024-11-09,26,115461,Entrepreneur,2016,0,8233
999576,Apartment,Ottawa,ON,505430.0,1,1,3805,2017-07-09,60,93635,Entrepreneur,1987,1,6180
999577,Condo,Montreal,BC,340119.0,5,3,3215,2015-07-30,57,49145,Teacher,2005,0,1416
999578,House,Ottawa,ON,119006.0,5,3,3793,2016-07-25,42,93008,Engineer,1996,0,2318
999579,Condo,Calgary,BC,544043.0,3,3,2775,2019-08-03,54,55425,Artist,1980,0,3807
999580,House,Vancouver,AB,744506.0,2,3,957,2022-11-29,55,147341,Teacher,2019,0,1738
999581,Condo,Montreal,BC,274172.0,4,1,811,2024-02-17,40,85475,Artist,1963,1,1352
999582,Condo,Montreal,QC,460440.0,1,1,1162,2024-12-05,44,83788,Entrepreneur,2015,0,7145
999583,Apartment,Montreal,QC,456234.0,3,2,3552,2016-07-06,31,67669,Manager,2012,0,4354
999584,Condo,Ottawa,BC,598221.0,3,2,3007,2019-03-20,51,126114,Artist,1975,1,4537
999585,Condo,Montreal,AB,409882.0,3,2,3858,2019-03-20,61,83093,Artist,1976,0,3592
999586,House,Ottawa,ON,874586.0,3,2,3019,2019-06-30,41,137228,Engineer,2007,1,8540
999587,Condo,Montreal,QC,803675.0,3,2,1164,2021-07-21,30,147272,Entrepreneur,2013,1,1721
999588,Apartment,Ottawa,ON,583735.0,3,2,2664,2015-08-25,48,63671,Entrepreneur,2002,1,4846
999589,House,Toronto,ON,845753.0,2,3,2023,2018-04-20,30,40192,Manager,1978,1,4010
999590,Condo,Montreal,ON,709051.0,2,2,2605,2015-02-18,55,59687,Engineer,1970,1,2068
999591,House,Ottawa,ON,313433.0,1,3,3785,2024-12-12,51,143688,Engineer,1955,1,9413
999592,Apartment,Ottawa,ON,629006.0,3,3,3308,2015-11-23,59,126797,Teacher,2012,1,4679
999593,Apartment,Toronto,ON,242843.0,4,1,3498,2023-05-18,40,147788,Manager,1961,1,8277
999594,Condo,Vancouver,AB,186275.0,3,1,3392,2015-03-08,58,107706,Teacher,2016,1,1761
999595,House,Ottawa,BC,236803.0,1,2,2770,2022-11-09,34,46900,Doctor,2001,1,8743
999596,Apartment,Montreal,ON,635246.0,1,2,3312,2021-09-07,30,93238,Artist,1980,0,2481
999597,House,Ottawa,ON,946779.0,1,1,2254,2016-09-26,38,108694,Teacher,2001,0,8110
999598,House,Calgary,BC,946256.0,1,1,1067,2016-07-11,25,47367,Entrepreneur,2011,0,9146
999599,House,Vancouver,AB,895960.0,4,1,854,2023-10-26,61,49652,Entrepreneur,1972,1,5587
999600,Apartment,Calgary,AB,770679.0,5,1,2185,2018-10-26,34,89739,Doctor,1961,0,7464
999601,Condo,Montreal,QC,911863.0,2,2,2773,2019-01-14,43,142634,Artist,1991,1,4660
999602,Apartment,Vancouver,ON,379140.0,1,3,2076,2020-12-01,55,141875,Manager,2007,0,5317
999603,Apartment,Calgary,ON,991780.0,4,3,3194,2020-01-06,44,41105,Doctor,1968,1,3595
999604,House,Calgary,ON,942864.0,2,2,910,2016-11-30,27,120729,Engineer,2005,1,5044
999605,House,Vancouver,QC,503768.0,1,3,1849,2017-08-18,56,79097,Teacher,1996,0,8865
999606,House,Montreal,ON,651484.0,3,2,3604,2015-11-12,60,88627,Engineer,2009,0,6361
999607,Apartment,Ottawa,AB,770345.0,1,2,3788,2018-03-19,48,76152,Doctor,1950,1,1940
999608,House,Montreal,QC,850786.0,3,3,3539,2024-09-07,42,55488,Teacher,1967,1,4590
999609,House,Calgary,ON,686725.0,1,1,2704,2023-12-01,58,50009,Artist,2020,1,5115
999610,House,Vancouver,BC,864577.0,2,2,854,2021-09-05,51,148124,Manager,1992,1,6362
999611,Apartment,Toronto,BC,563941.0,5,1,3262,2021-03-06,29,122929,Manager,1950,1,4169
999612,Apartment,Vancouver,AB,799785.0,4,1,3121,2023-08-19,26,131231,Doctor,1952,0,2417
999613,House,Toronto,ON,752495.0,3,1,3349,2015-01-04,63,145944,Teacher,2010,0,3530
999614,Apartment,Toronto,QC,302268.0,5,1,1755,2015-12-26,30,89981,Manager,1967,1,9952
999615,Condo,Montreal,BC,964578.0,4,2,2163,2020-10-22,29,71837,Engineer,1975,1,7856
999616,House,Calgary,ON,667012.0,3,1,3158,2024-10-10,34,93369,Doctor,2009,0,6129
999617,Condo,Ottawa,QC,806307.0,4,3,1986,2020-11-30,30,71301,Engineer,1972,1,4886
999618,Apartment,Toronto,AB,814672.0,3,1,2174,2016-05-24,30,114991,Doctor,1994,0,2773
999619,Apartment,Toronto,ON,148899.0,4,1,985,2015-11-29,27,60135,Entrepreneur,2014,1,6850
999620,House,Ottawa,AB,117115.0,1,1,2202,2018-04-16,56,67164,Engineer,1994,1,9541
999621,Condo,Calgary,ON,785751.0,4,1,2867,2015-08-14,37,113327,Teacher,1961,0,9210
999622,House,Ottawa,ON,751554.0,2,3,982,2015-04-01,32,118324,Manager,1969,1,3128
999623,Condo,Vancouver,AB,414661.0,1,3,1222,2021-08-08,39,106584,Teacher,2006,0,9687
999624,Apartment,Montreal,ON,881617.0,3,3,3753,2023-10-20,64,111521,Manager,1993,1,9449
999625,Condo,Calgary,ON,769525.0,5,2,3767,2022-02-16,47,112563,Engineer,1952,0,8938
999626,Condo,Calgary,AB,375097.0,4,1,3705,2021-04-29,36,73545,Manager,1951,0,5789
999627,Apartment,Calgary,BC,432986.0,5,2,3506,2016-12-06,46,144509,Engineer,1997,1,6960
